Time,Open,High,Low,Close
2026-01-26,86230.17,90076.24,76754.86,76832.28
2026-02-02,76825.27,78756.96,62991.98,70752.01
2026-02-09,70700.74,70901.6,65304.82,68525.43
2026-02-16,68530.16,69501.41,66011.18,67602.4
2026-02-23,67589.24,69197.01,63022.56,65620.06
2026-03-02,65864.32,73648.47,65403.82,66186.72
2026-03-09,66165.39,73320.05,66137.68,72475.43
2026-03-16,72473.71,75314.77,67677.24,68301.76
2026-03-23,68251.03,71637.33,65809.12,66151.38
2026-03-30,66117.93,69117.82,66084.38,68800.09
2026-04-06,69027.73,73405.7,67773.08,70774.11
2026-04-13,70772.36,77741.83,70772.36,74080.38
2026-04-20,74114.07,79270.44,74095.19,78487.06
2026-04-27,78512.34,79409.67,75381.18,78654.54
2026-05-04,78583.64,82326.77,78522.02,82152.53
2026-05-11,82174.65,82174.65,78803.39,79237.78
